355,3360,3570
396,3465,3960
298,3645,3165
399,3945,3780
277,3480,3000
143,1605,1980
132,2850,1935
292,2805,3210
313,2880,3195
344,1695,3555
18,3795,1080
318,3840,3060
344,1575,3720
277,3510,2955
335,3300,3450
331,2745,3780
293,2805,3210
396,3345,4035
354,3255,3315
399,3870,3825
354,3210,3630
312,2865,3315
396,3570,3870
298,3750,3090
354,2970,3630
334,3105,3450
199,3885,2400
293,3045,2985
344,1665,3435
376,3510,3840
96,3360,1650
376,3330,3885
376,3435,3720
277,3630,3000
36,3465,1350
354,3195,3600
399,3810,3795
279,3975,3210
333,3000,3465
375,3210,3780
329,2415,3585
277,3585,2910
299,3870,3420
376,3360,3930
154,3165,2085
399,3915,3990
19,3915,1095
272,2955,2880
155,3285,2205
292,2910,3135
376,3120,3780
376,3525,3540
376,3570,3705
156,3360,2040
153,2940,2145
396,3495,3780
277,3660,2985
273,3030,2910
364,1695,3480
313,3030,3360
273,3075,2910
397,3645,3840
344,1635,3570
396,3435,3960
359,3885,3660
375,3270,3585
324,1695,3450
293,2775,3255
396,3570,4050
359,3900,3615
43,1515,1335
333,2985,3405
318,3780,3270
273,2850,3045
298,3735,3150
199,3915,2370
293,3030,3330
134,3030,1800
376,3630,3885
333,3030,3405
312,3000,3390
155,3345,2115
324,1470,3480
359,3945,3795
299,3885,3000
272,2850,2970
334,3120,3465
153,2955,2130
344,1560,3390
356,3570,3450
98,3705,1680
293,2940,3450
399,3870,3870
293,2820,3120
155,3105,2055
372,2670,3750
397,3825,3915
293,3060,3195
131,2625,1935
293,2955,3105
334,3150,3435
30,2340,1110
313,2955,3270
335,3225,3435
396,3495,3900
117,3465,1860
299,3660,2730
334,3090,3405
399,3810,3855
289,2535,3225
293,3195,3090
134,3150,1800
355,3390,3420
293,3030,3090
376,3450,3765
97,3360,1800
335,3285,3420
298,3660,3195
133,2925,2070
399,3795,3870
376,3465,3780
277,3675,2895
294,3165,3195
313,2955,3915
376,3540,3630
359,3915,3720
333,3120,3345
355,3300,3780
156,3510,2130
296,3390,3015
354,2865,3510
382,1230,3795
156,3525,2250
293,3225,2895
396,3450,3855
153,3000,2205
293,3120,2790
374,3150,3825
344,1695,3660
293,2925,3180
293,3030,3120
36,3480,1200
293,2850,3300
155,3150,2115
376,3465,3810
296,3420,3090
294,3090,3225
134,3225,1800
344,1620,3660
153,3150,2070
376,3390,3825
153,2820,2295
22,1410,975
296,3195,3255
399,3930,4065
334,3150,3405
155,3360,2115
376,3540,3735
292,2940,3075
354,3300,3630
354,3240,3555
372,2895,3690
399,3780,3885
298,3855,3225
335,3270,3435
156,3660,2055
312,2865,3255
135,3420,2115
335,3645,3825
299,3885,3255
155,3465,1995
50,2550,1785
333,3105,3270
306,1620,3495
133,2850,1920
364,1725,3720
354,3135,3615
316,3255,3240
359,4020,3750
312,2760,3285
333,3240,3435
154,3360,2100
155,3405,1830
292,2700,3165
376,3315,3885
154,3270,2190
156,3480,1890
397,3630,3960
133,2760,1950
312,2805,3270
399,3780,3795
273,3015,3150
376,3180,3540
131,2820,1860
399,3735,3975
376,3750,3735
376,3510,3930
37,3660,1200
376,3435,3525
364,1605,3705
333,3105,3480
155,3420,2055
376,3465,3810
273,3105,2760
156,3360,2130
376,3735,3810
355,3315,3540
399,3885,3810
154,3045,2190
294,2940,3090
270,2475,2985
374,3225,3945
134,3345,1995
376,3390,3750
334,3120,3480
96,3555,1485
264,1650,3045
324,1530,3360
291,2670,3090
374,3180,3885
18,3810,990
293,3015,3120
299,3780,3255
145,1695,1770
133,3000,1980
115,3240,1830
292,2730,3165
315,3225,3495
36,3480,1260
382,1185,3930
312,2820,3195
132,2925,1980
97,3600,1575
375,3345,3780
292,2865,3180
298,3735,3030
334,3045,3375
376,3315,3810
277,3405,3090
117,3465,1860
292,2865,3225
272,2880,3210
17,3630,990
143,1515,2085
376,3495,3840
396,3375,3855
360,1035,3765
335,3345,3525
154,3225,2040
359,3855,3615
272,2865,3030
293,2850,3165
271,3000,3150
375,3330,3735
376,3615,4035
293,2895,3270
272,2880,2940
376,3465,3885
293,3120,3435
375,2985,4035
277,3600,2940
312,3120,3390
292,2775,2745
312,2790,3405
396,3495,3630
395,3045,3675
277,3480,3135
157,3645,2205
335,3300,3450
293,2895,2970
354,3135,3615
376,3525,3795
338,3585,3300
291,2610,3060
350,2610,3375
359,3900,3675
277,3600,3195
277,3600,3015
334,2955,3690
292,2940,3045
299,4020,2985
359,3645,3570
376,3480,3735
273,2895,2880
258,4005,2685
319,3945,3270
396,3720,3750
344,1680,3600
396,3435,3930
399,3885,3900
334,3135,3450
132,2820,1620
397,3675,3975
319,3930,3300
376,3450,3810
376,3345,3630
156,3390,2175
298,3690,3105
396,3510,3810
298,3900,3090
359,4170,3675
273,2955,2745
156,3555,2160
399,3930,3960
293,3090,3180
165,1830,2265
399,4140,3735
399,3735,3855
298,3510,3390
22,1395,1125
396,3525,3810
399,3870,3930
351,2790,3585
396,3435,3855
339,3960,3510
354,3045,3555
376,3345,3555
319,3795,3225
271,2610,2880
376,3375,3795
344,2070,4170
313,3630,3210
360,1005,3795
376,3300,3780
273,3000,3120
376,3465,3645
395,3525,3795
376,3465,3780
157,3585,2100
293,2865,3315
17,3555,1080
312,2550,3300
155,3090,2160
376,3615,3645
272,2760,2865
359,3900,3705
277,3630,3045
337,3495,3450
98,3690,1650
279,4020,3210
376,3225,3450
37,3510,1350
344,1710,3645
319,3780,2970
277,3645,3045
293,2955,3300
335,3480,3555
277,3525,3045
396,3465,3795
273,3015,3090
271,3045,2730
360,1125,3840
192,2700,2565
273,3120,3000
293,2955,3180
382,1110,4005
292,2760,3360
293,2880,3120
392,2595,3960
376,3495,3885
359,3960,3555
293,3015,3300
272,2820,2820
292,2820,3165
362,1080,3825
313,3015,3105
359,3915,3660
396,3195,3840
294,3015,2985
299,3915,3210
316,3420,3465
399,3915,3885
134,3135,1920
299,4020,3465
399,3735,3750
376,3450,3945
182,1590,2505
198,3600,2430
293,2970,2985
375,3285,3795
354,2835,3480
376,3645,3570
376,3315,3630
354,3225,3585
318,3720,3285
335,3225,3525
293,2985,3105
299,3945,3360
376,3540,3660
277,3525,3075
298,3630,2775
77,3405,1530
155,3360,1995
97,3555,1605
299,3825,3390
293,3300,3180
306,2130,3015
396,3480,3810
273,3030,3120
77,3645,1275
376,3615,3690
156,3555,2025
350,2460,3525
292,2925,3150
335,3330,3450
153,3060,2160
134,3180,1950
329,2520,3435
344,1785,3765
360,915,3945
298,3945,3255
399,3600,4455
294,3075,3225
354,3135,3360
381,1170,3930
293,3075,3225
376,3540,3525
376,3555,3810
339,3930,3525
133,3000,1920
354,3180,3480
273,3135,3090
293,3045,3210
334,3150,3540
359,3930,3420
312,2805,3255
293,3090,3075
334,3150,3600
395,3285,3975
284,1635,3150
293,2655,3030
215,3345,2550
293,2955,3075
156,3465,2235
293,2925,3015
150,2730,1980
375,3240,3435
359,3690,3525
399,3975,4035
290,2550,3195
57,3555,1290
334,3270,3435
334,3195,3570
320,960,3765
182,1185,2325
359,3915,3585
334,3090,3465
293,3090,3120
399,3945,3885
335,3150,3390
277,3780,2880
376,3465,3765
155,3240,2100
292,3000,3270
277,3600,2955
133,3225,1860
309,2250,3135
382,1275,4065
399,4020,4035
334,2880,3375
399,4110,3945
296,3525,3240
273,3120,2790
354,3180,3570
298,3870,3075
134,3120,1770
399,3975,3990
395,3300,3900
277,3600,3075
298,3660,2895
292,2775,3105
344,1515,3435
376,3150,3780
324,1665,3480
272,2865,3015
299,4050,3330
395,3450,3960
293,2985,3225
37,3465,1335
277,3780,2880
272,2865,2940
399,4140,3840
375,3345,3720
298,3630,3135
339,3975,3030
19,3750,885
277,3495,3285
293,3045,3300
292,2835,3270
316,3675,3195
333,2925,3420
359,3855,3510
376,3300,3855
355,3285,3915
344,1665,3735
399,4200,3885
344,1575,3510
156,3465,2205
199,3975,2325
299,3915,3120
338,3795,3360
319,3810,3225
293,3000,3210
293,3015,2985
272,3030,3000
355,3390,3690
372,2730,3585
292,2520,2820
292,2880,3165
331,2625,3420
272,2685,2685
19,4290,1260
316,3150,3075
42,960,1425
333,2910,3285
299,3900,3150
157,3405,2040
298,3795,3060
186,2055,2310
399,4020,3945
299,3630,3240
117,3585,1905
135,3345,1950
318,3495,3690
218,3555,2430
299,3765,3105
154,3285,2340
298,3750,3150
17,3630,1020
293,2985,3060
396,3585,4035
396,3375,3855
133,3030,1935
264,1650,3045
396,3600,3825
357,3540,3660
273,3075,3060
376,3480,3795
77,3360,1545
18,3780,1080
298,3705,3075
334,3060,3465
22,1530,1050
324,1695,3435
293,2985,3180
291,2730,3180
154,3030,2070
354,3105,3645
312,2685,3285
192,2805,2415
313,2865,3165
320,1215,3000
382,1245,4140
273,2985,3000
344,1665,3465
292,2895,3135
295,3270,3225
379,4065,3645
277,3705,3165
272,2865,3000
292,2895,3210
155,3435,2160
97,3750,1770
272,3015,3015
396,3450,3960
352,3030,3660
299,3900,3150
331,2715,3375
37,3465,1350
313,2835,3240
399,3900,3885
134,3210,2025
320,1050,3420
354,3225,3570
360,1065,3810
335,3315,3225
376,3480,3660
372,2865,3735
299,3900,3075
153,3015,2070
376,3510,3780
135,3330,1875
376,3390,3570
397,3120,3825
156,3285,2190
399,4065,3630
299,3900,3255
334,3135,3480
320,1080,3480
277,3615,2850
247,2010,3000
376,3330,3630
376,3540,3765
376,3420,3750
376,3390,3795
376,3420,3870
376,3285,3810
399,3825,3885
292,2865,3210
334,3285,3270
376,3465,3705
292,2895,3090
376,3480,3765
399,3900,3885
279,4035,3090
156,3450,2100
272,2820,3045
355,3705,3465
293,3000,3090
134,3195,1950
298,3615,3180
299,3675,2910
382,1575,3840
293,3000,3120
134,3120,2100
157,3510,2160
376,3420,3690
293,3045,3195
156,3780,1665
376,3570,3660
133,2970,2085
154,3075,1935
277,3315,2940
376,3315,3660
17,3720,1050
